1,肖申克的救赎 The Shawshank Redemption,导演 : 弗兰克·德拉邦特,9.6,1232512,1994-09-10, 美国, 英语,剧情 犯罪
2,霸王别姬,导演 : 陈凯歌,9.6,907465,1993-01-01, 中国大陆 / 香港, 汉语普通话,剧情 爱情 同性
3,这个杀手不太冷 Léon,导演 : 吕克·贝松,9.4,1133255,1994-09-14, 法国, 英语 / 意大利语 / 法语,剧情 动作 犯罪
4,阿甘正传 Forrest Gump,导演 : 罗伯特·泽米吉斯,9.4,971716,1994-06-23, 美国, 英语,剧情 爱情
5,美丽人生 La vita è bella,导演 : 罗伯托·贝尼尼,9.5,567777,1997-12-20, 意大利, 意大利语 / 德语 / 英语,剧情 喜剧 爱情 战争
6,泰坦尼克号 Titanic,导演 : 詹姆斯·卡梅隆,9.3,907459,1998-04-03, 美国, 英语 / 意大利语 / 德语 / 俄语,剧情 爱情 灾难
7,千与千寻 千と千尋の神隠し,导演 : 宫崎骏,9.3,900642,2001-07-20, 日本, 日语,剧情 动画 奇幻
8,辛德勒的名单 Schindler's List,导演 : 史蒂文·斯皮尔伯格,9.5,510003,1993-11-30, 美国, 英语 / 希伯来语 / 德语 / 波兰语,剧情 历史 战争
9,盗梦空间 Inception,导演 : 克里斯托弗·诺兰,9.3,986911,2010-09-01, 美国 / 英国, 英语 / 日语 / 法语,剧情 科幻 悬疑 冒险
10,机器人总动员 WALL·E,导演 : 安德鲁·斯坦顿,9.3,654713,2008-06-27, 美国, 英语,爱情 科幻 动画 冒险
11,忠犬八公的故事 Hachi: A Dog's Tale,导演 : 拉斯·霍尔斯道姆,9.3,640994,2009-06-13, 美国 / 英国, 英语 / 日语,剧情
12,三傻大闹宝莱坞 3 Idiots,导演 : 拉吉库马尔·希拉尼,9.2,883598,2011-12-08, 印度, 印地语 / 乌尔都语 / 英语,剧情 喜剧 爱情 歌舞
13,海上钢琴师 La leggenda del pianista sull'oceano,导演 : 朱塞佩·托纳多雷,9.2,736467,1998-10-28, 意大利, 英语 / 法语,剧情 音乐
14,放牛班的春天 Les choristes,导演 : 克里斯托夫·巴拉蒂,9.2,608316,2004-10-16, 法国 / 瑞士 / 德国, 法语,剧情 音乐
15,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,导演 : 刘镇伟,9.2,674587,2014-10-24, 香港 / 中国大陆, 粤语 / 汉语普通话,喜剧 爱情 奇幻 冒险
16,楚门的世界 The Truman Show,导演 : 彼得·威尔,9.2,654382,1998-06-05, 美国, 英语,剧情 科幻
17,星际穿越 Interstellar,导演 : 克里斯托弗·诺兰,9.2,668494,2014-11-12, 美国 / 英国 / 加拿大 / 冰岛, 英语,剧情 科幻 冒险
18,教父 The Godfather,导演 : 弗朗西斯·福特·科波拉,9.2,447155,1972-03-15, 美国, 英语 / 意大利语 / 拉丁语,剧情 犯罪
19,龙猫 となりのトトロ,导演 : 宫崎骏,9.1,571856,2018-12-14, 日本, 日语,动画 奇幻 冒险
20,熔炉 도가니,导演 : 黄东赫,9.3,381127,2011-09-22, 韩国, 韩语,剧情
21,无间道 無間道,导演 : 刘伟强 麦兆辉,9.1,553504,2003-09-05, 香港, 粤语,剧情 悬疑 犯罪
22,当幸福来敲门 The Pursuit of Happyness,导演 : 加布里埃莱·穆奇诺,9.0,714492,2008-01-17, 美国, 英语 / 粤语,剧情 家庭 传记
23,触不可及 Intouchables,导演 : 奥利维埃·纳卡什 埃里克·托莱达诺,9.2,474348,2011-11-02, 法国, 法语,剧情 喜剧
24,怦然心动 Flipped,导演 : 罗伯·莱纳,9.0,771042,2010-07-26, 美国, 英语,剧情 喜剧 爱情
25,疯狂动物城 Zootopia,导演 : 拜伦·霍华德 瑞奇·摩尔 杰拉德·布什,9.2,735932,2016-03-04, 美国, 英语 / 挪威语,喜剧 动画 冒险
26,乱世佳人 Gone with the Wind,导演 : 维克多·弗莱明 乔治·库克 山姆·伍德,9.2,338532,1939-12-15, 美国, 英语,剧情 爱情 历史 战争
27,蝙蝠侠：黑暗骑士 The Dark Knight,导演 : 克里斯托弗·诺兰,9.1,444311,2008-07-14, 美国 / 英国, 英语 / 汉语普通话,剧情 动作 科幻 惊悚 犯罪
28,活着,导演 : 张艺谋,9.2,366879,1994-05-17, 中国大陆 / 香港, 汉语普通话,剧情 家庭 历史
29,天堂电影院 Nuovo Cinema Paradiso,导演 : 朱塞佩·托纳多雷,9.1,370753,1988-11-17, 意大利 / 法国, 意大利语 / 英语 / 葡萄牙语,剧情 爱情
30,少年派的奇幻漂流 Life of Pi,导演 : 李安,9.0,730574,2012-11-22, 美国 / 台湾 / 英国 / 加拿大, 英语 / 泰米尔语 / 法语 / 日语 / 印地语 / 汉语普通话,剧情 奇幻 冒险
31,十二怒汉 12 Angry Men,导演 : 西德尼·吕美特,9.4,217824,1957-04-13, 美国, 英语,剧情
32,鬼子来了,导演 : 姜文,9.2,303232,2000-05-12, 中国大陆, 汉语普通话 / 日语 / 唐山话,剧情 历史 战争
33,指环王3：王者无敌 The Lord of the Rings: The Return of the King,导演 : 彼得·杰克逊,9.1,362992,2004-03-12, 美国 / 新西兰, 英语 / 昆雅语 / 古英语 / 辛达林语,剧情 动作 奇幻 冒险
34,控方证人 Witness for the Prosecution,导演 : 比利·怀德,9.6,148742,1957-12-17, 美国, 英语 / 德语,剧情 悬疑 犯罪
35,天空之城 天空の城ラピュタ,导演 : 宫崎骏,9.0,423016,1992(中国大陆), 日本, 日语,动画 奇幻 冒险
36,搏击俱乐部 Fight Club,导演 : 大卫·芬奇,9.0,477797,1999-09-10, 美国 / 德国, 英语,剧情 动作 悬疑 惊悚
37,飞屋环游记 Up,导演 : 彼特·道格特 鲍勃·彼德森,8.9,644938,2009-08-04, 美国, 英语,剧情 喜剧 动画 冒险
38,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,导演 : 刘镇伟,8.9,543451,2014-10-24, 香港 / 中国大陆, 粤语 / 汉语普通话,喜剧 爱情 奇幻 冒险
39,罗马假日 Roman Holiday,导演 : 威廉·惠勒,9.0,487824,1953-09-02, 美国, 英语 / 意大利语 / 德语,剧情 喜剧 爱情
40,摔跤吧！爸爸 Dangal,导演 : 涅提·蒂瓦里,9.1,660203,2017-05-05, 印度, 印地语,剧情 家庭 传记 运动
41,窃听风暴 Das Leben der Anderen,导演 : 弗洛里安·亨克尔·冯·多纳斯马尔克,9.1,289259,2006-03-23, 德国, 德语,剧情 悬疑
42,哈尔的移动城堡 ハウルの動く城,导演 : 宫崎骏,8.9,459740,2004-09-05, 日本, 日语,动画 奇幻 冒险
43,辩护人 변호인,导演 : 杨宇硕,9.2,286962,2013-12-18, 韩国, 韩语,剧情
44,闻香识女人 Scent of a Woman,导演 : 马丁·布莱斯特,9.0,414234,1992-12-23, 美国, 英语,剧情
45,两杆大烟枪 Lock, Stock and Two Smoking Barrels,导演 : 盖·里奇,9.1,327126,1998-08-28, 英国, 英语,剧情 喜剧 犯罪
46,飞越疯人院 One Flew Over the Cuckoo's Nest,导演 : 米洛斯·福尔曼,9.0,331512,1975-11-19, 美国, 英语,剧情
47,死亡诗社 Dead Poets Society,导演 : 彼得·威尔,9.0,354921,1989-06-02, 美国, 英语,剧情
48,V字仇杀队 V for Vendetta,导演 : 詹姆斯·麦克特格,8.8,537549,2005-12-11, 美国 / 英国 / 德国, 英语,剧情 动作 科幻 惊悚
49,海豚湾 The Cove,导演 : 路易·西霍尤斯,9.3,218070,2009-07-31, 美国, 英语 / 日语,纪录片
50,教父2 The Godfather: Part Ⅱ,导演 : 弗朗西斯·福特·科波拉,9.1,241895,1974-12-12, 美国, 英语 / 意大利语 / 西班牙语 / 拉丁语 / 西西里语,剧情 犯罪
51,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,导演 : 彼得·杰克逊,9.0,340506,2003-04-25, 美国 / 新西兰, 英语 / 辛达林语 / 古代英语,剧情 动作 奇幻 冒险
52,指环王1：魔戒再现 The Lord of the Rings: The Fellowship of the Ring,导演 : 彼得·杰克逊,8.9,381240,2002-04-04, 新西兰 / 美国, 英语 / 辛达林语,剧情 动作 奇幻 冒险
53,美丽心灵 A Beautiful Mind,导演 : 朗·霍华德,8.9,378333,2001-12-13, 美国, 英语,剧情 传记
54,饮食男女 飲食男女,导演 : 李安,9.1,262127,1994-08-03, 台湾 / 美国, 汉语普通话 / 闽南语 / 湖南话,剧情 家庭
55,情书 Love Letter,导演 : 岩井俊二,8.8,468397,1999-03(中国, 日本, 日语,剧情 爱情
56,素媛 소원,导演 : 李濬益,9.1,248539,2013-10-02, 韩国, 韩语,剧情
57,狮子王 The Lion King,导演 : 罗杰·阿勒斯 罗伯·明可夫,8.9,359698,1995-07-15, 美国, 英语 / 斯瓦希里语 / 科萨语 / 祖鲁语,剧情 动画 歌舞 家庭 冒险
58,钢琴家 The Pianist,导演 : 罗曼·波兰斯基,9.1,249679,2002-05-24, 法国 / 德国 / 英国 / 波兰, 英语 / 德语 / 俄语,剧情 音乐 传记 历史 战争
59,末代皇帝 The Last Emperor,导演 : 贝纳尔多·贝托鲁奇,9.1,254576,1987-10-04, 英国 / 意大利 / 中国大陆 / 法国 / 美国, 英语 / 汉语普通话 / 日语 / 俄语,剧情 传记 历史
60,美国往事 Once Upon a Time in America,导演 : 赛尔乔·莱昂内,9.1,214879,1984-02-17, 意大利 / 美国, 英语 / 法语 / 意大利语,剧情 犯罪
61,小鞋子 بچههای آسمان,导演 : 马基德·马基迪,9.2,181118,1997-02(伊朗, 伊朗, 波斯语,剧情 家庭 儿童
62,七宗罪 Se7en,导演 : 大卫·芬奇,8.8,520896,1995-09-22, 美国, 英语 / 葡萄牙语,剧情 悬疑 惊悚 犯罪
63,被嫌弃的松子的一生 嫌われ松子の一生,导演 : 中岛哲也,8.9,376025,2006-05-27, 日本, 日语,剧情 歌舞
64,本杰明·巴顿奇事 The Curious Case of Benjamin Button,导演 : 大卫·芬奇,8.8,485960,2008-12-25, 美国, 英语 / 俄语 / 法语,剧情 爱情 奇幻
65,致命魔术 The Prestige,导演 : 克里斯托弗·诺兰,8.8,426006,2006-10-20, 美国 / 英国, 英语,剧情 悬疑 惊悚
66,西西里的美丽传说 Malèna,导演 : 朱塞佩·托纳多雷,8.8,453259,2000-10-27, 意大利 / 美国, 意大利语 / 英语 / 拉丁语 / 古希腊语,剧情 情色 战争
67,黑客帝国 The Matrix,导演 : 莉莉·沃卓斯基 拉娜·沃卓斯基,8.9,358426,1999-03-31, 美国 / 澳大利亚, 英语,动作 科幻
68,让子弹飞,导演 : 姜文,8.7,793144,2010-12-16, 中国大陆 / 香港, 汉语普通话 / 四川话 / 山西话,剧情 喜剧 动作 西部
